differenza,arbitro,temperatura
-1.396,C,27
-6.023,B,25
-4.511,C,20
-2.977,A,27
-6.255,C,19
-1.418,B,31
-4.801,A,23
-5.137,A,26
-2.423,A,26
-2.089,C,24
-4.102,B,28
-1.302,A,23
-6.903,A,29
-2.66,A,18
-1.717,C,26
-3.974,C,35
-2.385,B,20
-6.328,C,22
-1.89,A,28
-3.662,B,26
-5.507,A,27
-1.577,A,27
-4.961,C,28
-6.721,B,31
-7.092,C,27
-1.685,C,24
-6.401,B,28
0.187,A,34
-9.405,A,24
1.041,B,20
-3.672,A,31
-3.442,B,24
-4.562,B,14
-2.202,C,29
-3.294,B,22
-0.442,C,25
-3.914,A,27
-3.824,A,26
-5.109,A,29
-4.342,A,23
-2.43,C,28
-8.475,A,24
-6.57,B,29
-1.342,B,28
-2.773,B,20
-3.66,C,30
-4.154,A,22
-3.331,A,29
-5.549,A,27
-5.146,C,34
-2.71,B,24
-5.646,B,23
-3.179,A,25
-7.456,B,23
-0.627,B,29
-2.019,C,17
-2.56,C,20
-0.743,C,20
0.964,C,30
-1.664,A,34
-7.802,C,24
-6.399,B,24
-5.762,A,25
-3.135,B,31
-1.906,B,20
-5.014,B,26
-2.733,C,30
-5.088,C,28
-5.729,A,26
-7.717,A,30
-5.508,C,11
-6.579,B,28
-6.64,A,22
-0.566,C,16
-5.573,C,28
3.381,C,32
-1.967,B,24
-2.738,C,30
-5.346,C,33
-1.449,C,32
-4.639,C,33
-3.895,A,29
2.2,A,25
-3.44,C,17
-0.327,B,24
-5.958,A,21
-3.287,C,36
0.227,A,24
-5.767,A,26
1.331,B,28
-1.431,C,25
-4.606,C,33
-1.619,B,22
-0.769,B,26
-1.645,C,21
-7.126,C,18
-5.018,B,22
-4.819,A,25
-4.386,A,23
-1.648,B,22
-3.756,A,18
-6.538,B,25
-3.25,A,17
-2.674,A,29
-1.801,C,25
-0.498,C,18
-2.115,A,23
-3.052,A,21
-3.375,C,27
-7.352,C,32
-2.126,C,16
-2.681,B,26
-3.521,A,24
-6.392,C,28
-6.903,A,26
-0.567,B,21
-3.299,B,23
-1.496,C,21
-3.129,B,30
-4.126,A,25
-0.854,C,35
-5.49,A,25
-3.96,A,21
-4.356,B,17
-4.286,B,16
-3.973,B,17
-2.645,B,26
-4.397,B,28
-0.061,C,17
-6.437,A,29
-4.667,A,23
-5.299,A,26
-0.583,A,33
-2.709,B,29
-1.62,A,24
-6.914,C,21
-2.532,C,14
-1.976,A,21
-3.994,A,24
-0.536,C,20
-4.493,C,24
0.323,B,25
2.547,C,24
-4.107,B,22
-4.314,B,26
0.433,B,27
0.749,B,20
-4.507,B,32
-5.25,A,25
-3.904,C,25
-6.561,B,29
-5.497,C,26
-5.71,C,30
-5.119,B,26
-4.287,A,22
-2.614,B,27
-0.324,A,19
-5.696,C,26
-1.739,A,25
-4.735,A,24
-4.324,A,24
-1.513,C,16
-6.007,C,22
-3.244,A,25
-3.784,A,26
-1.969,B,20
-3.477,A,31
2.938,B,21
-5.794,A,30
-4.527,B,27
-4.758,C,22
-5.589,A,34
-5.793,A,19
-1.227,A,30
-0.649,A,30
-4.627,B,22
-6.281,A,32
-2.021,C,24
-4.581,C,26
-2.618,A,26
-2.693,C,24
-7.989,A,29
-0.331,A,29
1.29,C,16
-5.732,A,32
-4.169,C,17
-2.485,B,30
-3.364,A,31
-1.554,B,20
1.826,C,23
-3.642,B,19
-5.196,B,24
-6.648,C,23
-5.027,B,29
-3.283,B,32
1.286,C,32
-4.494,B,22
-2.641,C,24
-3.241,B,17
-0.229,C,21
3.117,C,30
-4.527,B,33
-4.424,B,19
-0.59,B,22
-2.495,A,25
0.417,A,26
-2.74,A,21
-4.098,C,27
-1.723,B,23
-0.428,C,25
-2.149,A,28
-1.932,B,25
-0.533,C,23
-0.277,B,24
0.255,C,25
-1.578,B,23
-4.618,A,24
-3.833,A,33
-0.184,B,28
-5.242,C,24
-3.278,A,28
-5.183,A,23
-4.128,A,31
-0.004,B,27
-2.722,B,24
-3.084,C,27
-6.6,C,17
-1.334,C,19
-1.586,B,19
2.208,B,26
-3.969,C,34
-2.652,C,36
-2.577,B,28
0.744,C,28
-4.438,A,16
-2.502,B,22
-1.68,C,21
-2.733,B,22
-5.316,A,24
-2.715,B,23
-0.516,B,15
-5.766,B,29
-2.868,B,20
-5.95,A,26
-0.212,B,35
-7.008,B,20
-4.597,C,12
-2.257,B,24
0.714,C,31
-4.364,A,35
-5.588,A,19
0.503,A,27
-7.82,A,23
-8.697,C,24
-2.1,B,38
-5.455,A,17
-5.753,B,26
-1.429,C,27
-2.59,C,30
-4.61,C,25
-7.401,A,27
-1.019,B,23
-1.574,B,26
-3.448,B,23
1.417,C,28
-6.875,A,23
-7.014,C,27
-4.93,C,25
-3.314,B,31
-2.592,C,25
-3.803,B,16
-3.32,A,31
-6.329,B,20
-0.591,A,22
-3.405,B,22
-0.407,C,32
-2.343,C,14
-3.058,A,41
-2.776,A,30
-3.081,A,26
-1.593,B,25
0.123,B,26
-3.709,A,28
-1.427,C,28
-3.424,B,28
0.4,B,25
-4.891,B,24
0.302,A,24
-4.3,A,24
-7.777,A,31
-3.88,A,28
-5.903,A,10
-1.098,C,28
-4.832,C,26
-5.315,A,25
-7.924,B,23
-5.331,A,31
-9.26,C,30
-7.16,C,21
-1.299,B,27
-1.235,C,20
-3.136,A,18
-5.617,B,22
-4.319,A,29
-4.209,A,30
-6.096,B,28
-0.442,A,29
-1.007,C,28
-4.752,A,22
-3.133,B,27
-2.679,B,29
-8.304,B,29
-4.818,A,31
-4.905,B,29
-5.704,B,27
-4.903,A,30
1.294,C,25
-2.598,A,21
-4.628,B,24
-1.769,B,21
-0.702,A,22
-0.888,C,24
-3.051,B,21
-4.817,B,23
-1.454,B,16
-3.216,A,26
-0.962,B,25
-1.612,C,21
-0.576,B,28
-4.538,B,30
0.093,C,17
-2.706,B,21
0.988,A,21
-5.923,A,20
0.14,A,29
-2.705,C,24
-4.829,B,24
-5.41,A,15
-4.001,C,28
-2.14,B,19
-1.893,C,25
-5.634,A,26
-4.261,A,32
1.156,A,18
1.119,C,10
-2.109,C,26
-4.105,A,34
-2.9,C,31
-2.666,A,26
-6.757,A,23
-3.843,B,29
-7.371,C,20
-3.202,A,27
-2.582,A,28
-4.408,C,30
0.735,B,39
-6.264,B,27
-7.861,A,22
-2.639,C,25
-0.582,B,16
1.01,C,22
-4.347,C,23
-1.503,A,22
-3.296,B,26
-4.632,A,21
-0.991,B,31
-1.569,B,25
-7.141,B,25
0.491,B,23
0.25,B,26
-4.764,C,29
-3.21,A,21
-1.965,C,22
-2.548,B,23
-5.576,A,18
-4.879,B,21
-4.264,A,23
-0.268,C,29
-2.841,A,26
-5.127,A,26
-2.271,A,29
-11.321,A,24
-1.328,A,27
-7.549,B,24
-5.106,A,26
-6.999,A,22
-6.437,C,13
-1.298,A,24
-4.369,C,32
-2.334,B,30
-4.317,A,30
-2.007,C,31
-3.008,C,25
-6.407,B,26
-1.709,A,22
-5.434,A,23
-7.091,C,28
-5.27,A,31
0.552,C,24
-2.074,A,23
-4.072,C,25
-5.073,A,28
-4.004,B,18
0.992,A,14
-3.245,A,22
-2.125,B,19
-1.624,A,22
-2.603,B,24
-4.848,A,23
-3.691,C,32
-3.379,C,27
-4.293,A,27
-2.381,A,28
-4.07,A,19
-1.368,C,30
-4.402,A,25
-3.003,C,28
-8.196,B,20
-0.909,C,17
-2.334,C,29
-0.705,B,27
-10.441,C,20
1.021,A,21
-4.549,A,31
-0.43,C,19
-6.8,A,33
-1.668,C,20
-6.834,A,28
-5.759,A,23
1.585,C,28
-4.677,A,22
-2.656,C,24
-2.025,A,25
-2.961,A,20
-2.824,B,29
-2.288,B,22
2.809,C,24
-3.344,B,20
-2.697,C,12
-0.573,B,24
-1.436,A,37
-0.232,C,29
-1.603,C,25
-7.058,A,24
0.884,C,25
-6.066,C,28
-2.443,B,19
-5.086,C,31
-4.36,A,29
-2.378,B,29
-2.397,B,27
-3.145,A,25
-0.166,A,28
-2.066,B,28
-3.81,C,23
-0.79,B,22
-1.226,A,26
-6.269,B,33
-2.706,A,19
-1.447,B,18
-3.944,C,26
0.239,B,25
-3.575,B,26
-3.886,A,26
-4.633,A,24
-4.161,A,32
-5.941,B,17
-6.8,C,21
-0.214,A,24
-6.317,A,17
-5.678,B,24
-9.583,A,33
-4.797,C,25
-6.508,C,26
-0.095,A,19
-1.675,A,22
-4.92,B,23
2.431,C,23
-0.746,C,31
-5.012,A,28
-9.449,B,19
2.527,C,26
-6.674,C,27
-7.313,B,31
-0.644,B,33
2.899,C,20
0.261,C,21
-1.79,B,19
-1.713,C,24
-2.066,A,27
-2.303,A,30
-2.497,B,25
-2.939,B,23
-3.356,B,26
-6.085,A,21
-3.902,C,35
-8.432,A,17
-3.446,C,26
-6.671,A,35
-5.959,C,25
-3.75,A,24
0.28,B,23
-1.904,A,24
-7.126,C,32
-6.674,A,14
-1.848,A,33
-6.656,A,18
-3.762,B,24
-2.825,A,23
-5.621,B,28
-2.937,B,17
-7.535,A,27
-5.703,A,35
-3.401,A,18
-7.182,C,26
-3.099,A,22
-3.249,B,27
-2.819,A,25
-2.64,C,22
-0.79,A,27
-2.887,C,34
-4.274,C,24
-3.894,A,29
-1.842,B,19
-3.078,C,20
-4.099,A,27
-5.955,A,32
-4.857,B,27
-6.707,C,23
1.174,C,25
-7.31,A,19
-5.932,A,28
-4.996,B,29
-0.963,B,23
-3.937,C,23
-0.081,C,26
-5.884,A,23
-2.503,C,25
-5.288,B,35
2.163,B,24
-7.169,A,23
-2.425,B,22
-1.616,B,29
-2.166,B,24
-3.663,B,22
-4.525,A,32
-4.09,A,32
-3.568,C,22
-0.79,B,16
2.326,C,30
-5.594,A,22
-7.625,A,29
-4.421,A,15
2.249,A,29
-6.209,A,19
-0.102,A,29
-0.006,A,25
-4.584,B,20
-1.778,C,23
-0.129,A,28
-4.148,B,26
-3.709,B,28
-4.654,C,35
-6.737,A,17
-4.823,C,33
-7.26,A,26
-3.115,B,21
-5.125,B,18
-2.616,B,24
-7.09,B,30
-2.373,C,24
-2.116,A,33
-9.184,A,18
-2.265,C,25
-1.131,A,19
-6.224,B,27
-0.019,A,29
-2.152,B,23
-4.963,C,12
-4.339,A,26
-1.804,C,27
-4.01,A,27
-1.853,B,31
-5.502,C,20
-3.777,A,28
-6.734,B,31
-3.478,C,16
-5.46,C,27
-6.039,A,22
-1.11,A,25
-1.472,A,27
-1.677,B,23
-6.931,A,22
-3.991,C,25
-0.167,C,20
-3.846,A,20
1.598,A,28
-2.217,C,19
-2.72,B,28
-4.973,A,27
-3.866,A,16
-3.581,C,22
-2.43,A,31
-0.808,B,20
-5.165,C,23
-7.528,A,27
-7.791,C,29
-2.93,A,24
-6.958,A,22
-9.582,A,32
-2.229,B,34
3.032,B,30
-3.215,C,25
-2.104,A,21
-3.995,A,21
-3.447,B,28
-1.902,A,27
-3.926,B,32
-3.532,A,28
-2.396,C,17
-5.87,A,30
-1.72,A,20
-3.637,B,23
-6.089,A,26
-2.859,A,35
-5.446,B,41
-3.13,C,28
-3.223,C,24
-0.485,B,28
-2.013,B,29
-3.263,B,23
-1.156,B,34
0.276,B,26
-1.805,C,27
-3.174,C,28
-6.48,B,27
-6.863,A,29
-3.963,B,22
-5.724,A,22
-3.667,B,19
-3.058,B,27
-1.876,C,29
-4.376,A,27
-2.984,A,33
-3.039,C,25
-8.139,C,28
-5.548,C,20
-3.56,C,23
-7.224,A,28
-2.7,A,29
0.627,B,24
-0.153,B,25
-3.734,C,17
0.527,C,23
-2.828,C,29
-4.043,B,28
-4.734,B,28
-3.956,B,25
-4.17,B,25
-2.774,B,22
-2.799,B,28
-3.192,B,27
-2.108,C,27
-0.223,C,22
-0.826,C,14
-6.912,C,30
-9.585,B,23
-1.864,A,21
-6.617,B,28
-4.762,A,23
-6.125,C,30
-7.705,B,28
-1.846,C,28
-1.302,B,18
-4.641,C,31
-10.678,A,26
-5.566,A,23
-3.22,A,26
-6.897,B,16
-3.742,A,27
-3.238,B,20
-2.752,A,18
-3.901,A,17
-5.633,B,31
-0.209,B,22
-4.596,A,33
-3.268,B,22
-6.533,A,16
-4.308,B,19
-5.412,C,31
-3.632,C,24
1.079,C,22
-6.63,C,26
-7.234,C,28
-0.522,A,31
-3.723,C,32
-4.873,C,23
-0.6,C,18
-4.714,C,23
1.365,B,26
-2.505,A,20
-4.42,C,20
2.193,C,27
-4.714,C,25
-2.345,A,25
-2.452,B,21
-0.946,A,24
0.704,B,20
-3.12,C,29
-5.084,C,30
-3.05,A,16
-5.894,A,20
1.833,B,18
-2.859,B,22
-5.113,A,25
-2.738,B,18
-7.568,A,20
-5.629,B,20
-1.199,A,26
-5.842,A,25
-6.817,A,21
-1.858,B,26
-0.236,B,22
-1.403,B,24
-1.71,A,33
-5.092,B,32
-6.755,B,19
-0.447,A,29
-4.007,C,29
-4.827,A,19
0.12,B,29
-2.809,A,33
-2.06,C,19
1.213,A,20
-4.809,B,30
-0.88,C,26
-3.057,B,28
-2.529,C,27
0.621,C,27
-2.93,A,18
-2.854,A,30
-0.519,B,31
-5.112,A,24
-6.298,A,25
-5.812,C,17
-9.116,A,28
1.941,C,28
-5.958,C,25
-3.753,C,31
-3.892,B,23
-2.431,B,28
-1.161,B,20
-1.049,C,25
-4.658,B,24
-3.618,B,26
-3.494,A,23
-3.822,B,24
0.818,B,29
-1.973,C,23
-1.363,C,17
-1.543,C,34
-0.266,C,32
-2.747,C,19
-6.442,C,28
-2.201,B,22
-4.828,C,26
-4.522,C,26
-2.734,A,24
-0.104,B,21
-3.147,B,22
-2.428,B,20
1.056,C,21
-2.598,C,25
3.304,C,21
-2.786,A,28
-7.602,C,32
-2.317,A,22
-2.247,B,26
0.024,C,27
-2.517,A,27
-4.546,A,25
-6.261,C,29
-3.723,B,27
-5.326,B,19
-4.651,B,29
-2.729,A,29
-0.025,A,21
-3.213,A,25
-7.19,A,28
-2.088,B,24
-0.208,C,30
-5.724,A,37
-4.535,A,21
-3.163,B,18
-5.162,C,27
-1.579,C,29
-3.502,B,24
-2.151,B,32
-5.419,C,18
-5.294,A,28
-1.394,C,22
-4.132,B,34
0.117,A,35
-5.199,A,21
-2.638,B,22
-0.869,B,29
-6.746,B,23
-7.602,C,25
-7.014,C,25
-1.044,A,15
-4.58,B,25
2.195,A,22
-5.611,A,23
-3.739,A,32
-0.345,A,19
1.815,B,29
0.954,A,24
-0.179,B,24
-0.64,B,29
-1.719,C,27
-1.254,B,28
-4.578,C,30
-5.245,B,23
-3.208,B,22
-3.625,B,20
-4.333,C,21
-1.459,C,40
-1.812,A,31
